group1,group2,meandiff,p-adj,lower,upper,reject
logreg + All_Clusters,logreg + Baseline,0.0,1.0,-0.0332,0.0332,False
logreg + All_Clusters,logreg + DBSCAN_Only,0.0,1.0,-0.0332,0.0332,False
logreg + All_Clusters,logreg + Hierarchical+DBSCAN,0.0,1.0,-0.0332,0.0332,False
logreg + All_Clusters,logreg + Hierarchical_Only,0.0,1.0,-0.0332,0.0332,False
logreg + All_Clusters,logreg + KMeans+DBSCAN,0.0,1.0,-0.0332,0.0332,False
logreg + All_Clusters,logreg + KMeans+Hierarchical,0.0,1.0,-0.0332,0.0332,False
logreg + All_Clusters,logreg + KMeans_Only,0.0,1.0,-0.0332,0.0332,False
logreg + All_Clusters,naive_bayes + All_Clusters,-0.0033,1.0,-0.0365,0.03,False
logreg + All_Clusters,naive_bayes + Baseline,-0.0033,1.0,-0.0365,0.03,False
logreg + All_Clusters,naive_bayes + DBSCAN_Only,-0.0033,1.0,-0.0365,0.03,False
logreg + All_Clusters,naive_bayes + Hierarchical+DBSCAN,-0.0033,1.0,-0.0365,0.03,False
logreg + All_Clusters,naive_bayes + Hierarchical_Only,-0.0033,1.0,-0.0365,0.03,False
logreg + All_Clusters,naive_bayes + KMeans+DBSCAN,-0.0033,1.0,-0.0365,0.03,False
logreg + All_Clusters,naive_bayes + KMeans+Hierarchical,-0.0033,1.0,-0.0365,0.03,False
logreg + All_Clusters,naive_bayes + KMeans_Only,-0.0033,1.0,-0.0365,0.03,False
logreg + All_Clusters,neural_net + All_Clusters,0.0003,1.0,-0.033,0.0335,False
logreg + All_Clusters,neural_net + Baseline,-0.0024,1.0,-0.0356,0.0309,False
logreg + All_Clusters,neural_net + DBSCAN_Only,0.0009,1.0,-0.0323,0.0341,False
logreg + All_Clusters,neural_net + Hierarchical+DBSCAN,-0.0021,1.0,-0.0353,0.0312,False
logreg + All_Clusters,neural_net + Hierarchical_Only,-0.0029,1.0,-0.0362,0.0303,False
logreg + All_Clusters,neural_net + KMeans+DBSCAN,0.0002,1.0,-0.033,0.0334,False
logreg + All_Clusters,neural_net + KMeans+Hierarchical,-0.0042,1.0,-0.0374,0.029,False
logreg + All_Clusters,neural_net + KMeans_Only,-0.0005,1.0,-0.0337,0.0327,False
logreg + All_Clusters,rf + All_Clusters,0.0359,0.0162,0.0026,0.0691,True
logreg + All_Clusters,rf + Baseline,0.0359,0.0162,0.0026,0.0691,True
logreg + All_Clusters,rf + DBSCAN_Only,0.0359,0.0162,0.0026,0.0691,True
logreg + All_Clusters,rf + Hierarchical+DBSCAN,0.0359,0.0162,0.0026,0.0691,True
logreg + All_Clusters,rf + Hierarchical_Only,0.0359,0.0162,0.0026,0.0691,True
logreg + All_Clusters,rf + KMeans+DBSCAN,0.0359,0.0162,0.0026,0.0691,True
logreg + All_Clusters,rf + KMeans+Hierarchical,0.0359,0.0162,0.0026,0.0691,True
logreg + All_Clusters,rf + KMeans_Only,0.0359,0.0162,0.0026,0.0691,True
logreg + All_Clusters,svm + All_Clusters,-0.0064,1.0,-0.0396,0.0269,False
logreg + All_Clusters,svm + Baseline,-0.0064,1.0,-0.0396,0.0269,False
logreg + All_Clusters,svm + DBSCAN_Only,-0.0064,1.0,-0.0396,0.0269,False
logreg + All_Clusters,svm + Hierarchical+DBSCAN,-0.0064,1.0,-0.0396,0.0269,False
logreg + All_Clusters,svm + Hierarchical_Only,-0.0064,1.0,-0.0396,0.0269,False
logreg + All_Clusters,svm + KMeans+DBSCAN,-0.0064,1.0,-0.0396,0.0269,False
logreg + All_Clusters,svm + KMeans+Hierarchical,-0.0064,1.0,-0.0396,0.0269,False
logreg + All_Clusters,svm + KMeans_Only,-0.0064,1.0,-0.0396,0.0269,False
logreg + All_Clusters,xgboost + All_Clusters,0.0921,0.0,0.0589,0.1253,True
logreg + All_Clusters,xgboost + Baseline,0.0921,0.0,0.0589,0.1253,True
logreg + All_Clusters,xgboost + DBSCAN_Only,0.0921,0.0,0.0589,0.1253,True
logreg + All_Clusters,xgboost + Hierarchical+DBSCAN,0.0921,0.0,0.0589,0.1253,True
logreg + All_Clusters,xgboost + Hierarchical_Only,0.0921,0.0,0.0589,0.1253,True
logreg + All_Clusters,xgboost + KMeans+DBSCAN,0.0921,0.0,0.0589,0.1253,True
logreg + All_Clusters,xgboost + KMeans+Hierarchical,0.0921,0.0,0.0589,0.1253,True
logreg + All_Clusters,xgboost + KMeans_Only,0.0921,0.0,0.0589,0.1253,True
logreg + Baseline,logreg + DBSCAN_Only,0.0,1.0,-0.0332,0.0332,False
logreg + Baseline,logreg + Hierarchical+DBSCAN,0.0,1.0,-0.0332,0.0332,False
logreg + Baseline,logreg + Hierarchical_Only,0.0,1.0,-0.0332,0.0332,False
logreg + Baseline,logreg + KMeans+DBSCAN,0.0,1.0,-0.0332,0.0332,False
logreg + Baseline,logreg + KMeans+Hierarchical,0.0,1.0,-0.0332,0.0332,False
logreg + Baseline,logreg + KMeans_Only,0.0,1.0,-0.0332,0.0332,False
logreg + Baseline,naive_bayes + All_Clusters,-0.0033,1.0,-0.0365,0.03,False
logreg + Baseline,naive_bayes + Baseline,-0.0033,1.0,-0.0365,0.03,False
logreg + Baseline,naive_bayes + DBSCAN_Only,-0.0033,1.0,-0.0365,0.03,False
logreg + Baseline,naive_bayes + Hierarchical+DBSCAN,-0.0033,1.0,-0.0365,0.03,False
logreg + Baseline,naive_bayes + Hierarchical_Only,-0.0033,1.0,-0.0365,0.03,False
logreg + Baseline,naive_bayes + KMeans+DBSCAN,-0.0033,1.0,-0.0365,0.03,False
logreg + Baseline,naive_bayes + KMeans+Hierarchical,-0.0033,1.0,-0.0365,0.03,False
logreg + Baseline,naive_bayes + KMeans_Only,-0.0033,1.0,-0.0365,0.03,False
logreg + Baseline,neural_net + All_Clusters,0.0003,1.0,-0.033,0.0335,False
logreg + Baseline,neural_net + Baseline,-0.0024,1.0,-0.0356,0.0309,False
logreg + Baseline,neural_net + DBSCAN_Only,0.0009,1.0,-0.0323,0.0341,False
logreg + Baseline,neural_net + Hierarchical+DBSCAN,-0.0021,1.0,-0.0353,0.0312,False
logreg + Baseline,neural_net + Hierarchical_Only,-0.0029,1.0,-0.0362,0.0303,False
logreg + Baseline,neural_net + KMeans+DBSCAN,0.0002,1.0,-0.033,0.0334,False
logreg + Baseline,neural_net + KMeans+Hierarchical,-0.0042,1.0,-0.0374,0.029,False
